ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Status
284,Peeking Iterator,45.7%,Medium,0.9541838033314708, https://leetcode.com/problems/peeking-iterator,Not Done
1,Two Sum,45.6%,Easy,0.8672052300421611, https://leetcode.com/problems/two-sum,Not Done
1095,Find in Mountain Array,35.8%,Hard,0.7768088090462424, https://leetcode.com/problems/find-in-mountain-array,Not Done
391,Perfect Rectangle,30.5%,Hard,0.6864123880503237, https://leetcode.com/problems/perfect-rectangle,Not Done
146,LRU Cache,33.2%,Medium,0.6316265551298528, https://leetcode.com/problems/lru-cache,Not Done
341,Flatten Nested List Iterator,52.9%,Medium,0.5412301341339341, https://leetcode.com/problems/flatten-nested-list-iterator,Not Done
428,Serialize and Deserialize N-ary Tree,59.4%,Hard,0.4508337131380154, https://leetcode.com/problems/serialize-and-deserialize-n-ary-tree,Not Done
212,Word Search II,34.9%,Hard,0.4424509138861627, https://leetcode.com/problems/word-search-ii,Not Done
97,Interleaving String,31.5%,Hard,0.4167762826896874, https://leetcode.com/problems/interleaving-string,Not Done
4,Median of Two Sorted Arrays,29.6%,Hard,0.3871931571073466, https://leetcode.com/problems/median-of-two-sorted-arrays,Not Done
53,Maximum Subarray,46.5%,Easy,0.375777577908393, https://leetcode.com/problems/maximum-subarray,Not Done
295,Find Median from Data Stream,44.3%,Hard,0.3666812110246097, https://leetcode.com/problems/find-median-from-data-stream,Not Done
42,Trapping Rain Water,48.9%,Hard,0.3618717940435209, https://leetcode.com/problems/trapping-rain-water,Not Done
2,Add Two Numbers,33.9%,Medium,0.3595270499317115, https://leetcode.com/problems/add-two-numbers,Not Done
981,Time Based Key-Value Store,53.1%,Medium,0.3076005525488317, https://leetcode.com/problems/time-based-key-value-store,Not Done
688,Knight Probability in Chessboard,48.9%,Medium,0.3002486950516393, https://leetcode.com/problems/knight-probability-in-chessboard,Not Done
1229,Meeting Scheduler,52.7%,Medium,0.2955601745092634, https://leetcode.com/problems/meeting-scheduler,Not Done
351,Android Unlock Patterns,48.4%,Medium,0.2612154992636176, https://leetcode.com/problems/android-unlock-patterns,Not Done
609,Find Duplicate File in System,59.5%,Medium,0.2538801769623398, https://leetcode.com/problems/find-duplicate-file-in-system,Not Done
348,Design Tic-Tac-Toe,54.3%,Medium,0.1993329026204912, https://leetcode.com/problems/design-tic-tac-toe,Not Done
49,Group Anagrams,56.9%,Medium,0.1942400845554824, https://leetcode.com/problems/group-anagrams,Not Done
12,Integer to Roman,55.1%,Medium,0.1941056074041244, https://leetcode.com/problems/integer-to-roman,Not Done
200,Number of Islands,46.8%,Medium,0.189865498585062, https://leetcode.com/problems/number-of-islands,Not Done
227,Basic Calculator II,36.9%,Medium,0.1820095929792267, https://leetcode.com/problems/basic-calculator-ii,Not Done
1278,Palindrome Partitioning III,59.9%,Hard,0.1728428128394108, https://leetcode.com/problems/palindrome-partitioning-iii,Not Done
821,Shortest Distance to a Character,66.9%,Easy,0.1622986409188468, https://leetcode.com/problems/shortest-distance-to-a-character,Not Done
311,Sparse Matrix Multiplication,61.9%,Medium,0.1617461590774995, https://leetcode.com/problems/sparse-matrix-multiplication,Not Done
206,Reverse Linked List,62.5%,Easy,0.1563653350583309, https://leetcode.com/problems/reverse-linked-list,Not Done
238,Product of Array Except Self,60.1%,Medium,0.1539115480152579, https://leetcode.com/problems/product-of-array-except-self,Not Done
5,Longest Palindromic Substring,29.5%,Medium,0.152609187700488, https://leetcode.com/problems/longest-palindromic-substring,Not Done
403,Frog Jump,39.7%,Hard,0.1519909531790461, https://leetcode.com/problems/frog-jump,Not Done
362,Design Hit Counter,63.7%,Medium,0.1489960292385938, https://leetcode.com/problems/design-hit-counter,Not Done
269,Alien Dictionary,33.3%,Hard,0.1457878134614986, https://leetcode.com/problems/alien-dictionary,Not Done
546,Remove Boxes,42.7%,Hard,0.1436155116911486, https://leetcode.com/problems/remove-boxes,Not Done
836,Rectangle Overlap,48.6%,Easy,0.1426102266800165, https://leetcode.com/problems/rectangle-overlap,Not Done
658,Find K Closest Elements,40.9%,Medium,0.1404171788297472, https://leetcode.com/problems/find-k-closest-elements,Not Done
