ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Status
991,Broken Calculator,45.6%,Medium,0.9286521051883538, https://leetcode.com/problems/broken-calculator,Not Done
1052,Grumpy Bookstore Owner,55.4%,Medium,0.6706615869791757, https://leetcode.com/problems/grumpy-bookstore-owner,Not Done
45,Jump Game II,30.6%,Hard,0.3852787141374099, https://leetcode.com/problems/jump-game-ii,Not Done
403,Frog Jump,39.7%,Hard,0.0998958412956442, https://leetcode.com/problems/frog-jump,Not Done
273,Integer to English Words,27.1%,Hard,0.0474725741546634, https://leetcode.com/problems/integer-to-english-words,Not Done
253,Meeting Rooms II,45.7%,Medium,0.0180873098105793, https://leetcode.com/problems/meeting-rooms-ii,Not Done
17,Letter Combinations of a Phone Number,46.8%,Medium,0.0174925199324997, https://leetcode.com/problems/letter-combinations-of-a-phone-number,Not Done
703,Kth Largest Element in a Stream,49.7%,Easy,0.0138987643908149, https://leetcode.com/problems/kth-largest-element-in-a-stream,Not Done
55,Jump Game,34.6%,Medium,0.0112656091942189, https://leetcode.com/problems/jump-game,Not Done
40,Combination Sum II,48.2%,Medium,0.0095786172970697, https://leetcode.com/problems/combination-sum-ii,Not Done
128,Longest Consecutive Sequence,45.1%,Hard,0.0090518834853154, https://leetcode.com/problems/longest-consecutive-sequence,Not Done
238,Product of Array Except Self,60.1%,Medium,0.0088218568602167, https://leetcode.com/problems/product-of-array-except-self,Not Done
977,Squares of a Sorted Array,72.1%,Easy,0.0087336799687546, https://leetcode.com/problems/squares-of-a-sorted-array,Not Done
33,Search in Rotated Sorted Array,34.5%,Medium,0.0072528321803903, https://leetcode.com/problems/search-in-rotated-sorted-array,Not Done
146,LRU Cache,33.2%,Medium,0.0046003531390613, https://leetcode.com/problems/lru-cache,Not Done
234,Palindrome Linked List,39.3%,Easy,0.0045336131148289, https://leetcode.com/problems/palindrome-linked-list,Not Done
22,Generate Parentheses,62.7%,Medium,0.0043611059090124, https://leetcode.com/problems/generate-parentheses,Not Done
283,Move Zeroes,57.8%,Easy,0.0028853803470673, https://leetcode.com/problems/move-zeroes,Not Done
5,Longest Palindromic Substring,29.5%,Medium,0.0022793331425074, https://leetcode.com/problems/longest-palindromic-substring,Not Done
